emission;hour;document;payment;payment_value
01/05/21;07:50:53;1/00016572;Debit Card;18,58
03/05/21;17:59:44;1/00016707;Credit Card;20,59
03/05/21;17:59:44;1/00016707;Bank Transfer;15,0
01/05/21;08:10:32;1/00016574;Debit Card;18,57
01/05/21;08:47:02;1/00016575;Debit Card;43,87
01/05/21;08:57:55;1/00016576;Debit Card;47,1
01/05/21;09:06:05;1/00016577;Credit Card;43,0
01/05/21;09:19:01;1/00016578;Credit Card;4,22
01/05/21;09:19:39;1/00016579;Debit Card;15,89
01/05/21;09:21:30;1/00016580;Cash;16,5
01/05/21;09:21:30;1/00016580;Credit Card;16,0
01/05/21;09:23:24;1/00016581;Debit Card;15,5
01/05/21;09:42:30;1/00016582;Debit Card;46,28
01/05/21;09:50:40;1/00016583;Credit Card;38,98
01/05/21;09:59:46;1/00016584;Debit Card;36,5
01/07/21;14:18:39;1/00020191;Credit Card;11,93
01/07/21;14:18:39;1/00020191;Bank Transfer;30,0
